"";"ResponseId";"Group";"Question";"VAS";"Risk";"Perspective";"Condition"
"1";"R_0O4Fctp8rYXt7lT";"Per. Control";"Question_1";2;"High Risk";"Personal";"Control"
"2";"R_0O4Fctp8rYXt7lT";"Per. Control";"Question_2";1;"High Risk";"Personal";"Control"
"3";"R_0O4Fctp8rYXt7lT";"Per. Control";"Question_3";2;"High Risk";"Personal";"Control"
"4";"R_0O4Fctp8rYXt7lT";"Per. Control";"Question_4";0;"High Risk";"Personal";"Control"
"5";"R_0O4Fctp8rYXt7lT";"Per. Control";"Question_5";2;"High Risk";"Personal";"Control"
"6";"R_0O4Fctp8rYXt7lT";"Per. Control";"Question_6";1;"High Risk";"Personal";"Control"
"7";"R_0O4Fctp8rYXt7lT";"Per. Control";"Question_7";0;"High Risk";"Personal";"Control"
"8";"R_0O4Fctp8rYXt7lT";"Per. Control";"Question_8";3;"High Risk";"Personal";"Control"
"9";"R_0O4Fctp8rYXt7lT";"Per. Control";"Question_9";1;"High Risk";"Personal";"Control"
"10";"R_0O4Fctp8rYXt7lT";"Per. Control";"Question_10";1;"High Risk";"Personal";"Control"
"11";"R_0O4Fctp8rYXt7lT";"Per. Control";"Question_11";2;"Minimal Risk";"Personal";"Control"
"12";"R_0O4Fctp8rYXt7lT";"Per. Control";"Question_12";0;"Minimal Risk";"Personal";"Control"
"13";"R_0O4Fctp8rYXt7lT";"Per. Control";"Question_13";0;"Minimal Risk";"Personal";"Control"
"14";"R_0O4Fctp8rYXt7lT";"Per. Control";"Question_14";1;"Minimal Risk";"Personal";"Control"
"15";"R_0O4Fctp8rYXt7lT";"Per. Control";"Question_15";0;"Minimal Risk";"Personal";"Control"
"16";"R_0O4Fctp8rYXt7lT";"Per. Control";"Question_16";1;"Minimal Risk";"Personal";"Control"
"17";"R_0O4Fctp8rYXt7lT";"Per. Control";"Question_17";1;"Minimal Risk";"Personal";"Control"
"18";"R_0O4Fctp8rYXt7lT";"Per. Control";"Question_18";1;"Minimal Risk";"Personal";"Control"
"19";"R_0O4Fctp8rYXt7lT";"Per. Control";"Question_19";1;"Minimal Risk";"Personal";"Control"
"20";"R_0O4Fctp8rYXt7lT";"Per. Control";"Question_20";1;"Minimal Risk";"Personal";"Control"
"21";"R_0O4Fctp8rYXt7lT";"Per. Control";"Question_21";1;"Low Risk";"Personal";"Control"
"22";"R_0O4Fctp8rYXt7lT";"Per. Control";"Question_22";0;"Low Risk";"Personal";"Control"
"23";"R_0O4Fctp8rYXt7lT";"Per. Control";"Question_23";1;"Low Risk";"Personal";"Control"
"24";"R_0O4Fctp8rYXt7lT";"Per. Control";"Question_24";0;"Low Risk";"Personal";"Control"
"25";"R_0O4Fctp8rYXt7lT";"Per. Control";"Question_25";1;"Low Risk";"Personal";"Control"
"26";"R_0O4Fctp8rYXt7lT";"Per. Control";"Question_26";1;"Low Risk";"Personal";"Control"
"27";"R_0O4Fctp8rYXt7lT";"Per. Control";"Question_27";2;"Low Risk";"Personal";"Control"
"28";"R_0O4Fctp8rYXt7lT";"Per. Control";"Question_28";1;"Low Risk";"Personal";"Control"
"29";"R_0O4Fctp8rYXt7lT";"Per. Control";"Question_29";0;"Low Risk";"Personal";"Control"
"30";"R_0O4Fctp8rYXt7lT";"Per. Control";"Question_30";1;"Low Risk";"Personal";"Control"
"31";"R_10BIu9dWwGhhxzD";"Per. Reasoning";"Question_1";3;"High Risk";"Personal";"Reasoning"
"32";"R_10BIu9dWwGhhxzD";"Per. Reasoning";"Question_2";3;"High Risk";"Personal";"Reasoning"
"33";"R_10BIu9dWwGhhxzD";"Per. Reasoning";"Question_3";3;"High Risk";"Personal";"Reasoning"
"34";"R_10BIu9dWwGhhxzD";"Per. Reasoning";"Question_4";1;"High Risk";"Personal";"Reasoning"
"35";"R_10BIu9dWwGhhxzD";"Per. Reasoning";"Question_5";3;"High Risk";"Personal";"Reasoning"
"36";"R_10BIu9dWwGhhxzD";"Per. Reasoning";"Question_6";2;"High Risk";"Personal";"Reasoning"
"37";"R_10BIu9dWwGhhxzD";"Per. Reasoning";"Question_7";3;"High Risk";"Personal";"Reasoning"
"38";"R_10BIu9dWwGhhxzD";"Per. Reasoning";"Question_8";1;"High Risk";"Personal";"Reasoning"
"39";"R_10BIu9dWwGhhxzD";"Per. Reasoning";"Question_9";2;"High Risk";"Personal";"Reasoning"
"40";"R_10BIu9dWwGhhxzD";"Per. Reasoning";"Question_10";2;"High Risk";"Personal";"Reasoning"
"41";"R_10BIu9dWwGhhxzD";"Per. Reasoning";"Question_11";4;"Minimal Risk";"Personal";"Reasoning"
"42";"R_10BIu9dWwGhhxzD";"Per. Reasoning";"Question_12";13;"Minimal Risk";"Personal";"Reasoning"
"43";"R_10BIu9dWwGhhxzD";"Per. Reasoning";"Question_13";8;"Minimal Risk";"Personal";"Reasoning"
"44";"R_10BIu9dWwGhhxzD";"Per. Reasoning";"Question_14";18;"Minimal Risk";"Personal";"Reasoning"
"45";"R_10BIu9dWwGhhxzD";"Per. Reasoning";"Question_15";6;"Minimal Risk";"Personal";"Reasoning"
"46";"R_10BIu9dWwGhhxzD";"Per. Reasoning";"Question_16";11;"Minimal Risk";"Personal";"Reasoning"
