Duration (in seconds),ResponseId,P_ID,Age,Gender,1_Per_Imp_1,1_RT_First Click,1_RT_Last Click,1_RT_Page Submit,1_RT_Click Count,2_Per_Imp_1,2_RT_First Click,2_RT_Last Click,2_RT_Page Submit,2_RT_Click Count,3_Per_Imp_1,3_RT_First Click,3_RT_Last Click,3_RT_Page Submit,3_RT_Click Count,4_Per_Imp_1,4_RT_First Click,4_RT_Last Click,4_RT_Page Submit,4_RT_Click Count,5_Per_Imp_1,5_RT_First Click,5_RT_Last Click,5_RT_Page Submit,5_RT_Click Count,6_Per_Imp_1,6_RT_First Click,6_RT_Last Click,6_RT_Page Submit,6_RT_Click Count,7_Per_Imp_1,7_RT_First Click,7_RT_Last Click,7_RT_Page Submit,7_RT_Click Count,8_Per_Imp_1,8_RT_First Click,8_RT_Last Click,8_RT_Page Submit,8_RT_Click Count,9_Per_Imp_1,9_RT_First Click,9_RT_Last Click,9_RT_Page Submit,9_RT_Click Count,10_Per_Imp_1,10_RT_First Click,10_RT_Last Click,10_RT_Page Submit,10_RT_Click Count,11_Per_Imp_1,11_RT_First Click,11_RT_Last Click,11_RT_Page Submit,11_RT_Click Count,12_Per_Imp_1,12_RT_First Click,12_RT_Last Click,12_RT_Page Submit,12_RT_Click Count,13_Per_Imp_1,13_RT_First Click,13_RT_Last Click,13_RT_Page Submit,13_RT_Click Count,14_Per_Imp_1,14_RT_First Click,14_RT_Last Click,14_RT_Page Submit,14_RT_Click Count,15_Per_Imp_1,15_RT_First Click,15_RT_Last Click,15_RT_Page Submit,15_RT_Click Count,16_Per_Imp_1,16_RT_First Click,16_RT_Last Click,16_RT_Page Submit,16_RT_Click Count,17_Per_Imp_1,17_RT_First Click,17_RT_Last Click,17_RT_Page Submit,17_RT_Click Count,18_Per_Imp_1,18_RT_First Click,18_RT_Last Click,18_RT_Page Submit,18_RT_Click Count,19_Per_Imp_1,19_RT_First Click,19_RT_Last Click,19_RT_Page Submit,19_RT_Click Count,20_Per_Imp_1,20_RT_First Click,20_RT_Last Click,20_RT_Page Submit,20_RT_Click Count,21_Per_Imp_1,21_RT_First Click,21_RT_Last Click,21_RT_Page Submit,21_RT_Click Count,22_Per_Imp_1,22_RT_First Click,22_RT_Last Click,22_RT_Page Submit,22_RT_Click Count,23_Per_Imp_1,23_RT_First Click,23_RT_Last Click,23_RT_Page Submit,23_RT_Click Count,24_Per_Imp_1,24_RT_First Click,24_RT_Last Click,24_RT_Page Submit,24_RT_Click Count,25_Per_Imp_1,25_RT_First Click,25_RT_Last Click,25_RT_Page Submit,25_RT_Click Count,26_Per_Imp_1,26_RT_First Click,26_RT_Last Click,26_RT_Page Submit,26_RT_Click Count,27_Per_Imp_1,27_RT_First Click,27_RT_Last Click,27_RT_Page Submit,27_RT_Click Count,28_Per_Imp_1,28_RT_First Click,28_RT_Last Click,28_RT_Page Submit,28_RT_Click Count,29_Per_Imp_1,29_RT_First Click,29_RT_Last Click,29_RT_Page Submit,29_RT_Click Count,30_Per_Imp_1,30_RT_First Click,30_RT_Last Click,30_RT_Page Submit,30_RT_Click Count,1_Gen_Imp_1,1_RT_First Click,1_RT_Last Click,1_RT_Page Submit,1_RT_Click Count,2_Gen_Imp_1,2_RT_First Click,2_RT_Last Click,2_RT_Page Submit,2_RT_Click Count,3_Gen_Imp_1,3_RT_First Click,3_RT_Last Click,3_RT_Page Submit,3_RT_Click Count,4_Gen_Imp_1,4_RT_First Click,4_RT_Last Click,4_RT_Page Submit,4_RT_Click Count,5_Gen_Imp_1,5_RT_First Click,5_RT_Last Click,5_RT_Page Submit,5_RT_Click Count,6_Gen_Imp_1,6_RT_First Click,6_RT_Last Click,6_RT_Page Submit,6_RT_Click Count,7_Gen_Imp_1,7_RT_First Click,7_RT_Last Click,7_RT_Page Submit,7_RT_Click Count,8_Gen_Imp_1,8_RT_First Click,8_RT_Last Click,8_RT_Page Submit,8_RT_Click Count,9_Gen_Imp_1,9_RT_First Click,9_RT_Last Click,9_RT_Page Submit,9_RT_Click Count,10_Gen_Imp_1,10_RT_First Click,10_RT_Last Click,10_RT_Page Submit,10_RT_Click Count,11_Gen_Imp_1,11_RT_First Click,11_RT_Last Click,11_RT_Page Submit,11_RT_Click Count,12_Gen_Imp_1,12_RT_First Click,12_RT_Last Click,12_RT_Page Submit,12_RT_Click Count,13_Gen_Imp_1,13_RT_First Click,13_RT_Last Click,13_RT_Page Submit,13_RT_Click Count,14_Gen_Imp_1,14_RT_First Click,14_RT_Last Click,14_RT_Page Submit,14_RT_Click Count,15_Gen_Imp_1,15_RT_First Click,15_RT_Last Click,15_RT_Page Submit,15_RT_Click Count,16_Gen_Imp_1,16_RT_First Click,16_RT_Last Click,16_RT_Page Submit,16_RT_Click Count,17_Gen_Imp_1,17_RT_First Click,17_RT_Last Click,17_RT_Page Submit,17_RT_Click Count,18_Gen_Imp_1,18_RT_First Click,18_RT_Last Click,18_RT_Page Submit,18_RT_Click Count,19_Gen_Imp_1,19_RT_First Click,19_RT_Last Click,19_RT_Page Submit,19_RT_Click Count,20_Gen_Imp_1,20_RT_First Click,20_RT_Last Click,20_RT_Page Submit,20_RT_Click Count,21_Gen_Imp_1,21_RT_First Click,21_RT_Last Click,21_RT_Page Submit,21_RT_Click Count,22_Gen_Imp_1,22_RT_First Click,22_RT_Last Click,22_RT_Page Submit,22_RT_Click Count,23_Gen_Imp_1,23_RT_First Click,23_RT_Last Click,23_RT_Page Submit,23_RT_Click Count,24_Gen_Imp_1,24_RT_First Click,24_RT_Last Click,24_RT_Page Submit,24_RT_Click Count,25_Gen_Imp_1,25_RT_First Click,25_RT_Last Click,25_RT_Page Submit,25_RT_Click Count,26_Gen_Imp_1,26_RT_First Click,26_RT_Last Click,26_RT_Page Submit,26_RT_Click Count,27_Gen_Imp_1,27_RT_First Click,27_RT_Last Click,27_RT_Page Submit,27_RT_Click Count,28_Gen_Imp_1,28_RT_First Click,28_RT_Last Click,28_RT_Page Submit,28_RT_Click Count,29_Gen_Imp_1,29_RT_First Click,29_RT_Last Click,29_RT_Page Submit,29_RT_Click Count,30_Gen_Imp_1,30_RT_First Click,30_RT_Last Click,30_RT_Page Submit,30_RT_Click Count,GC,Group,Treatment,Eng
330,R_2DUN5yr3ns7Kzve,5f29b437b8f7d9124c3306cc,24,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,4.003,4.589,5.282,2,29,2.937,2.937,3.534,1,73,4.44,4.44,4.955,1,57,4.633,5.25,7.561,2,28,7.577,7.577,8.651,1,62,4.599,4.599,5.207,1,62,6.369,6.369,7.492,1,61,4.482,5.14,6.009,2,9,3.942,5.044,5.684,3,0,4.595,4.928,5.562,2,90,4.378,5.279,5.803,3,62,13.178,13.178,13.714,1,61,4.985,5.597,6.364,2,100,4.33,4.791,5.316,2,29,9.353,14.917,15.533,3,90,5.443,5.443,6.022,1,0,2.28,7.361,7.743,5,77,4.838,4.838,5.348,1,65,4.504,5.291,6.502,2,59,6.008,6.634,7.268,2,60,7.695,8.872,10.048,2,66,3.905,3.905,4.527,1,12,3.46,3.46,4.103,1,89,4.493,5.239,5.703,2,66,7.685,7.685,8.207,1,68,4.848,6.05,6.97,3,44,5.446,5.446,6.347,1,63,6.907,7.954,8.469,2,0,8.771,9.638,10.565,3,20,5.258,6.159,6.732,3,71,Other,Self-Other,Yes.
495,R_28Tj0Sqj1aTJ4KN,5be4be239d676000019d5585,18,Male,2,6.396,6.981,7.793,2,0,2.525,3.2,3.591,2,6,5.176,5.176,5.685,1,11,8.64,8.64,9.266,1,53,30.567,31.576,32.346,3,3,1.701,2.464,2.845,2,0,2.647,2.647,3.276,1,4,3.897,3.897,4.389,1,4,6.602,6.602,7.268,1,3,6.797,6.797,7.147,1,54,3.333,3.333,3.736,1,3,3.701,3.701,4.232,1,23,3.601,4.93,5.225,2,31,2.71,3.068,8.435,2,3,1.301,2.433,3.498,2,29,6.618,7.612,8.341,2,0,3.156,3.156,3.702,1,35,7.497,7.497,7.944,1,2,25.759,29.317,29.739,2,4,1.315,28.259,32.051,4,29,23.648,31.1,31.799,4,54,13.787,15.537,16.371,3,6,2.402,2.402,2.704,1,35,6.898,7.76,8.453,2,0,4.063,4.063,4.539,1,24,18.911,24.119,24.659,4,5,5.992,5.992,6.462,1,0,5.202,5.202,5.901,1,0,5.316,5.316,5.943,1,8,3.801,5.595,6.658,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,Self,Self-Other,Yes.
461,R_31m9f94hT3mX9OY,5ede70f61df7a90dc8136a01,21,Female,6,7.987,9.306,11.321,3,3,6.374,8.298,10.45,3,16,6.183,6.183,7.233,1,7,4.976,4.976,6.614,1,22,17.481,17.481,18.502,1,10,6.351,8.66,10.016,3,5,0.779,9.92,11.502,3,11,2.988,4.244,5.544,2,8,4.703,7.542,9.171,5,2,4.294,4.294,5.944,1,72,3.82,3.82,5.51,1,31,5.725,5.725,7.101,1,66,5.989,9.24,10.61,4,74,14.984,21.776,23.112,3,64,4.873,6.026,7.372,3,24,8.233,9.346,10.937,2,5,2.969,5.269,7.134,3,67,5.943,6.721,7.655,2,27,3.461,9.139,10.831,5,4,3.498,6.132,7.099,3,14,11.291,11.291,14.855,1,90,6.131,6.97,8.262,2,25,7.301,7.301,8.924,1,73,6.087,6.836,8.328,2,11,7.755,8.344,9.648,2,11,9.066,9.873,13.092,2,13,4.395,4.395,5.452,1,13,2.911,6.097,6.646,3,9,4.871,4.871,6.029,1,6,4.468,7.297,8.543,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,Self,Self-Other,"No, it's my second language."
315,R_3JI8NE7MsyVn3z8,5d9ce559aaa9310016249b0f,31,Female,50,4.378,4.378,5.504,1,50,4.676,5.627,6.948,2,78,4.163,4.163,5.272,1,27,3.803,3.803,5.191,1,26,6.577,6.577,9.386,1,70,6.528,6.528,7.666,1,75,5.297,5.297,6.355,1,81,5.65,5.65,6.814,1,23,5.66,5.66,7.229,1,27,4.061,4.061,5.149,1,93,3.138,3.138,4.478,1,76,6.893,6.893,8.413,1,81,4.808,4.808,6.084,1,72,5.285,6.25,7.454,2,88,2.686,3.4,4.553,2,74,4.203,4.203,5.351,1,23,4.845,4.845,6.232,1,51,7.41,7.41,8.566,1,81,3.959,3.959,4.994,1,79,6.343,6.343,7.427,1,31,7.504,7.504,8.892,1,73,4.54,4.54,6.146,1,51,4.553,4.553,5.94,1,83,3.032,3.032,4.251,1,75,3.771,3.771,4.827,1,25,18.289,19.522,21.296,2,75,3.696,3.696,4.688,1,21,5.923,5.923,7.305,1,20,4.288,4.288,5.852,1,24,3.849,3.849,4.997,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,Self,Self-Other,Yes.
372,R_AG1uQdtCmkV5fjP,5d92534d42c12306cae8b4cd,26,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.289,5.156,5.194,5,50,2.851,5.357,5.9,4,76,5.917,5.917,6.557,1,8,3.568,3.568,4.286,1,78,6.2,6.2,6.912,1,33,5.556,6.086,6.125,2,23,4.736,5.562,7.026,2,84,5.994,5.994,7.4,1,0,3.192,3.991,4.031,2,0,2.545,3.239,3.278,2,13,3.694,6.611,7.586,5,22,7.832,9.155,9.936,2,97,4.214,4.214,7.087,1,83,2.55,4.352,4.942,3,68,4.131,4.721,4.762,2,74,1.486,9.143,9.782,5,0,2.279,3.824,4.913,3,52,6.404,6.911,7.562,2,8,10.085,10.085,11.691,1,23,3.043,13.092,13.436,11,45,10.587,12.199,12.238,2,97,3.474,4.14,4.994,2,3,45.457,46.193,47.842,2,99,3.746,3.746,4.291,1,52,7.121,10.72,11.246,4,0,7.203,8.736,10.144,3,36,3.562,5.869,6.975,2,11,3.905,7.609,8.553,4,4,2.666,4.136,4.871,3,0,3.22,4.492,5.391,2,80,Other,Self-Other,"No, it's my second language."
388,R_1js9WjDb6fJGqwJ,5f2ac5c054d53238c232547f,28,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,4.673,5.812,6.728,2,43,7.603,7.603,8.474,1,75,5.384,6.378,7.257,2,40,5.295,5.295,6.382,1,73,4.396,4.396,5.653,1,75,4.393,4.393,5.517,1,25,6.195,6.748,7.884,2,63,6.818,6.818,7.656,1,58,6.756,7.678,8.139,2,12,5.044,5.044,6.295,1,70,5.632,5.632,6.635,1,43,6.367,6.367,7.336,1,98,6.307,6.307,7.193,1,62,6.837,8.543,9.523,2,83,5.112,5.77,6.565,2,61,4.853,4.853,5.719,1,27,4.383,4.383,5.576,1,62,5.672,5.672,6.592,1,21,10.431,11.775,12.76,2,38,6.407,6.407,7.617,1,50,19.566,19.566,20.513,1,44,5.268,5.268,6.171,1,51,8.329,8.329,9.214,1,73,6.398,6.398,7.929,1,69,5.499,5.499,6.378,1,74,6.341,6.341,7.248,1,65,5.338,5.338,6.252,1,39,5.041,5.041,6.145,1,38,1.21,10.727,11.572,2,20,3.987,3.987,5.271,1,61,Other,Self-Other,Yes.
389,R_2pVsdONHxn3wIRB,5ecac8afc3a0a20984fd5978,20,Female,12,7.684,7.684,8.355,1,50,12.756,13.875,14.562,3,54,3.608,4.985,5.579,2,2,2.977,4.747,5.514,4,8,4.519,4.519,5.173,1,15,3.688,5.154,5.761,2,11,4.236,5.061,5.776,2,52,17.001,17.001,17.81,1,72,4.317,5.799,6.211,2,0,8.734,9.883,10.424,2,88,3.704,3.704,5.058,1,18,3.541,4.401,5.234,2,92,4.308,4.308,5.12,1,65,10.074,11.081,11.663,2,89,3.688,3.688,4.41,1,18,5.769,5.769,6.457,1,5,13.288,13.288,14.085,1,4,7.204,8.251,8.941,2,74,4.518,4.518,5.026,1,50,6.23,6.927,7.571,2,7,3.622,3.622,4.311,1,21,6.764,6.764,7.472,1,16,3.467,3.467,4.136,1,90,3.895,6.938,7.512,4,21,6.857,7.879,8.948,2,43,5.814,5.814,6.426,1,23,2.372,3.227,3.874,2,17,5.821,5.821,8.044,1,4,4.397,4.397,5.331,1,21,2.567,2.567,3.205,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,Self,Self-Other,Yes.
451,R_2WBiZ1Rhf2VkTue,5bd2ab21669ee10001445a0f,26,Female,3,6.746,9.341,10.249,4,7,10.672,14.991,14.91,4,58,34.278,35.96,36.476,3,42,4.758,7.158,8.188,4,74,7.344,8.212,8.824,2,0,5.465,5.465,7.369,1,7,3.589,6.008,9.037,4,59,5.497,6.26,7.651,2,45,5.722,7.521,7.549,3,6,3.448,4.3,5.221,2,90,6.135,6.884,8.332,2,0,4.102,8.09,8.979,5,51,6.933,8.013,8.666,2,81,6.357,7.284,8.567,2,62,4.663,5.332,5.766,2,0,11.065,13.607,14.269,4,10,6.622,9.616,9.642,6,81,5.551,7.311,8.119,4,52,12.112,13.594,13.626,2,0,6.279,8.109,8.961,3,62,14.862,16.045,16.707,2,89,8.256,8.256,9.013,1,3,2.795,4.279,6.638,3,78,11.818,11.818,12.627,1,52,7.411,10.41,13.792,4,0,7.49,9.917,11.805,4,18,5.098,5.947,7.283,2,0,2.285,8.153,10.262,3,6,6.592,10.203,11.103,5,0,4.191,5.46,6.077,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,Self,Self-Other,Yes.
452,R_1LpM5CsowcDsI7M,5eda4934679bc006df63eec3,32,Female,1,7.889,9.219,10.778,3,0,5.915,5.915,7.7,1,0,6.874,6.874,9.361,1,6,5.171,9.175,10.701,2,40,15.518,15.518,17.136,1,0,6.763,10.608,12.865,2,1,0.264,5.611,7.132,2,0,5.139,5.139,6.686,1,0,5.282,6.291,7.731,2,0,4.881,4.881,6.506,1,42,0.936,6.584,8.081,2,0,6.246,6.246,8.741,1,33,4.463,8.786,10.465,2,44,5.137,5.137,6.51,1,38,4.069,4.069,5.551,1,0,8.309,13.428,14.834,2,0,5.581,5.581,7.551,1,38,7.164,7.164,9.269,1,28,6.242,8.81,10.999,2,0,4.787,4.787,6.277,1,30,9.21,9.21,10.469,1,71,5.688,8.919,9.872,2,0,5.17,5.17,7.222,1,40,4.389,4.389,6.03,1,50,6.326,6.326,9.381,1,0,8.891,10.352,11.573,2,0,6.298,9.677,11.358,4,28,6.148,6.148,7.503,1,0,5.463,5.463,7.03,1,0,4.746,4.746,7.351,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,Self,Self-Other,Yes.
401,R_2Yh27a91hHUSJfZ,59f873de07e3780001ccd6e4,39,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,6.766,8.57,10.01,3,19,3.757,3.757,4.802,1,48,5.569,5.569,6.873,1,55,6.571,6.571,7.549,1,38,7.353,7.353,8.409,1,54,8.2,8.2,9.368,1,2,6.952,6.952,8.56,1,5,4.907,4.907,6.456,1,71,6.591,9.085,10.396,3,0,4.354,4.354,5.977,1,100,5.963,5.963,6.976,1,17,12.078,13.535,14.732,2,84,6.538,6.538,7.339,1,97,5.097,5.097,6.111,1,96,4.841,4.841,5.732,1,89,6.609,6.609,7.665,1,2,6.037,7.645,8.957,3,91,6.294,9.569,10.459,4,20,13.305,20.166,21.633,4,2,7.432,7.432,9.079,1,62,6.858,8.209,9.335,2,99,6.728,6.728,7.792,1,5,5.393,5.393,6.856,1,100,4.678,4.678,5.553,1,71,6.763,6.763,7.821,1,61,7.877,8.864,9.818,2,48,7.08,7.08,8.344,1,44,9.336,9.336,10.496,1,1,5.606,5.606,7.195,1,6,4.783,4.783,6.235,1,50,Other,Self-Other,Yes.
