Duration (in seconds),ResponseId,P_ID,Age,Gender,1_Per_Imp_1,1_RT_First Click,1_RT_Last Click,1_RT_Page Submit,1_RT_Click Count,2_Per_Imp_1,2_RT_First Click,2_RT_Last Click,2_RT_Page Submit,2_RT_Click Count,3_Per_Imp_1,3_RT_First Click,3_RT_Last Click,3_RT_Page Submit,3_RT_Click Count,4_Per_Imp_1,4_RT_First Click,4_RT_Last Click,4_RT_Page Submit,4_RT_Click Count,5_Per_Imp_1,5_RT_First Click,5_RT_Last Click,5_RT_Page Submit,5_RT_Click Count,6_Per_Imp_1,6_RT_First Click,6_RT_Last Click,6_RT_Page Submit,6_RT_Click Count,7_Per_Imp_1,7_RT_First Click,7_RT_Last Click,7_RT_Page Submit,7_RT_Click Count,8_Per_Imp_1,8_RT_First Click,8_RT_Last Click,8_RT_Page Submit,8_RT_Click Count,9_Per_Imp_1,9_RT_First Click,9_RT_Last Click,9_RT_Page Submit,9_RT_Click Count,10_Per_Imp_1,10_RT_First Click,10_RT_Last Click,10_RT_Page Submit,10_RT_Click Count,11_Per_Imp_1,11_RT_First Click,11_RT_Last Click,11_RT_Page Submit,11_RT_Click Count,12_Per_Imp_1,12_RT_First Click,12_RT_Last Click,12_RT_Page Submit,12_RT_Click Count,13_Per_Imp_1,13_RT_First Click,13_RT_Last Click,13_RT_Page Submit,13_RT_Click Count,14_Per_Imp_1,14_RT_First Click,14_RT_Last Click,14_RT_Page Submit,14_RT_Click Count,15_Per_Imp_1,15_RT_First Click,15_RT_Last Click,15_RT_Page Submit,15_RT_Click Count,16_Per_Imp_1,16_RT_First Click,16_RT_Last Click,16_RT_Page Submit,16_RT_Click Count,17_Per_Imp_1,17_RT_First Click,17_RT_Last Click,17_RT_Page Submit,17_RT_Click Count,18_Per_Imp_1,18_RT_First Click,18_RT_Last Click,18_RT_Page Submit,18_RT_Click Count,19_Per_Imp_1,19_RT_First Click,19_RT_Last Click,19_RT_Page Submit,19_RT_Click Count,20_Per_Imp_1,20_RT_First Click,20_RT_Last Click,20_RT_Page Submit,20_RT_Click Count,21_Per_Imp_1,21_RT_First Click,21_RT_Last Click,21_RT_Page Submit,21_RT_Click Count,22_Per_Imp_1,22_RT_First Click,22_RT_Last Click,22_RT_Page Submit,22_RT_Click Count,23_Per_Imp_1,23_RT_First Click,23_RT_Last Click,23_RT_Page Submit,23_RT_Click Count,24_Per_Imp_1,24_RT_First Click,24_RT_Last Click,24_RT_Page Submit,24_RT_Click Count,25_Per_Imp_1,25_RT_First Click,25_RT_Last Click,25_RT_Page Submit,25_RT_Click Count,26_Per_Imp_1,26_RT_First Click,26_RT_Last Click,26_RT_Page Submit,26_RT_Click Count,27_Per_Imp_1,27_RT_First Click,27_RT_Last Click,27_RT_Page Submit,27_RT_Click Count,28_Per_Imp_1,28_RT_First Click,28_RT_Last Click,28_RT_Page Submit,28_RT_Click Count,29_Per_Imp_1,29_RT_First Click,29_RT_Last Click,29_RT_Page Submit,29_RT_Click Count,30_Per_Imp_1,30_RT_First Click,30_RT_Last Click,30_RT_Page Submit,30_RT_Click Count,1_Gen_Imp_1,1_RT_First Click,1_RT_Last Click,1_RT_Page Submit,1_RT_Click Count,2_Gen_Imp_1,2_RT_First Click,2_RT_Last Click,2_RT_Page Submit,2_RT_Click Count,3_Gen_Imp_1,3_RT_First Click,3_RT_Last Click,3_RT_Page Submit,3_RT_Click Count,4_Gen_Imp_1,4_RT_First Click,4_RT_Last Click,4_RT_Page Submit,4_RT_Click Count,5_Gen_Imp_1,5_RT_First Click,5_RT_Last Click,5_RT_Page Submit,5_RT_Click Count,6_Gen_Imp_1,6_RT_First Click,6_RT_Last Click,6_RT_Page Submit,6_RT_Click Count,7_Gen_Imp_1,7_RT_First Click,7_RT_Last Click,7_RT_Page Submit,7_RT_Click Count,8_Gen_Imp_1,8_RT_First Click,8_RT_Last Click,8_RT_Page Submit,8_RT_Click Count,9_Gen_Imp_1,9_RT_First Click,9_RT_Last Click,9_RT_Page Submit,9_RT_Click Count,10_Gen_Imp_1,10_RT_First Click,10_RT_Last Click,10_RT_Page Submit,10_RT_Click Count,11_Gen_Imp_1,11_RT_First Click,11_RT_Last Click,11_RT_Page Submit,11_RT_Click Count,12_Gen_Imp_1,12_RT_First Click,12_RT_Last Click,12_RT_Page Submit,12_RT_Click Count,13_Gen_Imp_1,13_RT_First Click,13_RT_Last Click,13_RT_Page Submit,13_RT_Click Count,14_Gen_Imp_1,14_RT_First Click,14_RT_Last Click,14_RT_Page Submit,14_RT_Click Count,15_Gen_Imp_1,15_RT_First Click,15_RT_Last Click,15_RT_Page Submit,15_RT_Click Count,16_Gen_Imp_1,16_RT_First Click,16_RT_Last Click,16_RT_Page Submit,16_RT_Click Count,17_Gen_Imp_1,17_RT_First Click,17_RT_Last Click,17_RT_Page Submit,17_RT_Click Count,18_Gen_Imp_1,18_RT_First Click,18_RT_Last Click,18_RT_Page Submit,18_RT_Click Count,19_Gen_Imp_1,19_RT_First Click,19_RT_Last Click,19_RT_Page Submit,19_RT_Click Count,20_Gen_Imp_1,20_RT_First Click,20_RT_Last Click,20_RT_Page Submit,20_RT_Click Count,21_Gen_Imp_1,21_RT_First Click,21_RT_Last Click,21_RT_Page Submit,21_RT_Click Count,22_Gen_Imp_1,22_RT_First Click,22_RT_Last Click,22_RT_Page Submit,22_RT_Click Count,23_Gen_Imp_1,23_RT_First Click,23_RT_Last Click,23_RT_Page Submit,23_RT_Click Count,24_Gen_Imp_1,24_RT_First Click,24_RT_Last Click,24_RT_Page Submit,24_RT_Click Count,25_Gen_Imp_1,25_RT_First Click,25_RT_Last Click,25_RT_Page Submit,25_RT_Click Count,26_Gen_Imp_1,26_RT_First Click,26_RT_Last Click,26_RT_Page Submit,26_RT_Click Count,27_Gen_Imp_1,27_RT_First Click,27_RT_Last Click,27_RT_Page Submit,27_RT_Click Count,28_Gen_Imp_1,28_RT_First Click,28_RT_Last Click,28_RT_Page Submit,28_RT_Click Count,29_Gen_Imp_1,29_RT_First Click,29_RT_Last Click,29_RT_Page Submit,29_RT_Click Count,30_Gen_Imp_1,30_RT_First Click,30_RT_Last Click,30_RT_Page Submit,30_RT_Click Count,GC,Group,Treatment,Eng
579,R_1ClSx2MFztOWbDk,5e16e01f8d257bca61195ea2,34,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,18.339,18.339,19.404,1,86,7.251,7.251,8.128,1,100,7.86,7.86,8.986,1,0,7.226,7.226,8.24,1,61,12.582,12.582,13.279,1,54,7.513,7.513,8.282,1,89,13.054,13.054,13.796,1,74,11.869,11.869,12.608,1,56,7.336,7.336,8.19,1,0,11.923,11.923,13.176,1,99,8.238,8.238,9.401,1,86,8.118,9.391,10.165,2,100,9.694,9.694,10.42,1,100,11.408,12.052,12.707,2,100,7.58,7.58,8.622,1,93,7.335,7.335,8.723,1,4,10.634,12.583,14.464,2,90,10.344,10.344,11.267,1,91,9.003,9.003,9.836,1,3,9.865,9.865,12.823,1,73,14.333,14.333,15.149,1,94,6.937,6.937,7.862,1,51,14.255,14.255,15.27,1,100,14.9,14.9,15.668,1,0,8.941,8.941,10.081,1,100,11.609,11.609,12.48,1,88,8.595,8.595,9.324,1,37,11.891,11.891,12.787,1,54,8.805,8.805,9.801,1,0,10.032,10.545,11.844,2,87,Other,VAS,Yes.
377,R_3M9yu7GycL8qdTa,5e7e0594aa9da6035bcbbd1d,35,Male,0,4.583,4.583,5.4,1,0,3.689,3.689,4.364,1,16,15.992,15.992,16.795,1,0,2.959,2.959,3.488,1,30,11.751,13.387,14.498,2,0,5.061,6.654,7.97,3,0,2.801,3.503,4.585,2,0,5.235,5.235,5.94,1,0,2.92,4.013,4.744,2,0,3.705,3.705,4.353,1,63,9.42,9.42,10.051,1,0,5.318,6.367,7.344,2,51,12.687,12.687,13.4,1,57,5.475,5.475,6.016,1,20,7.197,7.197,7.906,1,49,6.058,6.058,6.781,1,0,1.796,4.942,5.767,3,0,8.457,9.416,10.072,2,0,4.662,6.875,7.478,2,6,2.556,2.556,3.041,1,22,10.111,10.111,10.981,1,0,4.984,6.696,7.44,2,0,2.729,2.729,3.289,1,50,5.174,5.174,5.672,1,51,5.855,5.855,6.322,1,24,2.683,2.683,3.14,1,48,12.061,12.515,13.159,2,0,12.541,13.659,14.383,2,0,6.168,6.168,7.044,1,0,3.794,3.794,4.441,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,Self,VAS,Yes.
595,R_2R3XuYLJ1XxHUvg,5e384b1b6652df02300bbb15,32,Male,0,8.912,9.664,11.207,2,0,6.872,7.44,8.538,2,0,8.329,11.489,12.599,3,26,7.337,7.337,9.324,1,0,16.065,16.065,17.283,1,40,13.237,14.678,16.331,2,74,10.639,10.639,11.728,1,0,9.063,9.063,10.457,1,0,6.311,6.311,8.058,1,0,5.343,5.343,6.861,1,100,14.857,15.531,16.643,2,74,15.012,15.012,16.231,1,100,8.119,8.119,9.152,1,100,5.077,5.077,6.447,1,100,9.012,9.012,10.091,1,100,5.303,5.303,6.875,1,25,9.392,9.392,10.386,1,84,21.335,21.335,22.567,1,100,8.999,10.251,11.656,2,0,8.299,9.819,11.151,3,50,22.57,24.734,25.797,2,51,11.935,11.935,13.857,1,0,7.938,9.866,11.211,2,100,8.329,8.329,9.203,1,100,8.516,9.269,12.523,2,88,9.14,12.548,13.809,2,51,9.704,12.432,13.434,2,30,24.166,24.166,25.936,1,0,44.284,45,46.328,2,0,9.081,9.081,10.635,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,Self,VAS,Yes.
418,R_8Hxn9MXArMkHbvr,5e388cb52b5e4b08453a9173,18,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,1.189,7.506,7.554,4,10,20.169,20.946,21.938,3,0,5.537,8.357,8.88,6,5,4.484,4.949,5.678,2,5,29.035,29.378,30.09,2,65,7.364,8.219,8.842,3,0,4.443,7.915,8.497,3,90,7.154,7.154,8.014,1,22,5.031,5.031,5.955,1,0,10.114,11.158,11.761,3,83,6.414,6.414,6.994,1,15,21.89,23.188,23.233,4,92,9.158,10.294,10.319,2,94,5.427,7.539,8.114,4,99,6.202,6.202,7.045,1,82,10.212,12.594,13.216,6,64,8.545,9.499,10.296,3,97,7.508,7.508,8.034,1,35,6.454,6.994,7.684,2,1,6.235,6.521,7.231,2,83,10.407,10.407,11.026,1,93,5.484,5.484,5.901,1,19,6.013,6.013,6.893,1,89,4.226,4.226,4.714,1,10,6.388,6.388,7.106,1,97,6.892,7.547,7.588,2,66,9.024,9.425,10.038,2,23,1.015,14.708,15.874,2,38,19.495,19.911,20.665,2,20,9.784,9.784,10.573,1,75,Other,VAS,Yes.
469,R_1zCXtpR8pCFllId,5e88b5434ad43e022573b8f2,28,Female,0,9.768,9.768,10.68,1,0,7.749,7.749,8.915,1,78,5.982,5.982,6.671,1,6,4.353,4.353,5.023,1,85,14.4,14.4,15.899,1,27,8.092,8.092,8.834,1,0,4.776,4.776,5.695,1,10,5.381,5.381,6.23,1,46,10.093,10.093,10.758,1,1,6.633,6.633,7.813,1,67,6.224,6.224,6.879,1,0,8.141,8.141,9.012,1,70,13.232,13.232,14.06,1,28,7.506,7.506,8.471,1,63,7.192,7.192,8.07,1,53,7.113,7.113,7.819,1,0,3.301,5.018,6.457,2,17,6.918,9.362,10.006,2,40,6.893,6.893,7.581,1,3,13.69,13.69,15.844,1,52,8.129,8.129,8.781,1,93,4.066,5.592,6.321,2,2,3.689,3.689,4.955,1,73,7.362,7.362,8.069,1,0,3.22,5.352,6.038,2,1,8.104,8.104,8.703,1,60,6.971,8.547,9.235,3,7,6.563,6.563,7.213,1,0,5.901,5.901,6.712,1,0,5.32,6.409,7.425,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,Self,VAS,Yes.
500,R_2RUqleyS4cyOQ38,5e4f155824315e0a6cb4c477,35,Female,73,10.128,10.128,10.738,1,0,11.14,13.643,14.344,2,68,15.051,15.626,16.533,2,68,8.594,8.594,9.506,1,70,8.43,8.43,9.157,1,42,12.919,13.547,15.275,2,91,8.778,9.532,10.105,2,73,4.944,6.37,7.054,2,77,6.573,6.573,7.49,1,0,4.102,4.883,6.659,2,96,4.972,6.775,7.273,3,81,9.043,9.043,9.867,1,88,6.263,6.263,6.813,1,87,5.456,5.456,6.088,1,92,5.1,5.1,5.648,1,94,5.511,5.511,6.113,1,22,8.159,8.159,8.818,1,93,10.152,10.152,10.86,1,68,5.488,5.488,6.152,1,87,16.299,16.299,16.87,1,68,13.503,14.036,14.59,2,88,4.608,4.608,5.261,1,55,6.243,7.653,8.437,2,3,9.415,10.53,11.4,3,95,7.718,7.718,8.367,1,92,5.99,6.488,7.073,2,74,6.238,6.858,7.45,2,79,9.264,9.728,10.265,2,21,8.868,8.868,9.484,1,11,4.837,6.91,8.293,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,Self,VAS,Yes.
512,R_3RyF0iuMsfAMu2N,5e39a1c26f65d41b2e1463fa,27,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.379,4.74,6.427,2,0,4.669,4.669,6.546,1,0,3.64,3.64,5.377,1,0,2.972,2.972,4.578,1,59,2.23,14.873,16.036,3,0,13.481,13.481,19.5,1,0,4.024,4.024,5.819,1,7,7.762,22.141,23.685,3,0,5.412,5.412,6.949,1,0,10.586,10.586,13.134,1,27,12.693,12.693,15.283,1,6,8.114,9.461,11.237,2,17,6.622,6.622,8.307,1,15,4.735,4.735,6.189,1,12,5.25,5.25,7.331,1,0,2.866,5.246,6.771,2,0,4.727,5.562,7.077,2,16,5.817,6.672,8.327,2,7,2.298,9.027,10.467,4,0,2.509,4.98,6.554,2,8,5.371,7.572,9.95,2,71,5.875,5.875,7.23,1,0,79.535,79.535,81.051,1,8,4.839,6.347,7.82,3,9,4.561,4.561,6.699,1,0,4.917,6.716,8.499,2,0,3.18,8.778,11.186,3,0,4.455,4.455,6.271,1,0,4.74,4.74,6.537,1,0,4.614,6.433,8.078,2,100,Other,VAS,Yes.
377,R_210MDeBzMgqEECo,5f1c8add3edc815309dd362f,21,Male,28,1.703,8.285,10.238,3,70,2.196,4.45,5.499,2,33,1.439,6.185,8.345,2,5,1.132,5.661,6.88,3,51,1.443,7.487,8.644,3,4,0.99,4.246,5.734,2,3,1.572,6.478,7.634,2,25,1.264,10.571,12.057,3,4,2.306,7.86,9.148,3,6,1.597,4.054,5.1,3,94,1.479,8.558,9.523,6,2,1.468,7.228,8.268,3,89,1.131,6.384,7.851,4,94,0.99,6.249,7.207,4,99,1.517,6.143,7.135,2,91,1.177,5.568,6.506,2,65,0.79,5.663,6.865,3,70,1.345,10.114,11.673,3,89,1.14,5.697,6.754,2,7,2.096,7.245,8.239,3,85,1.05,8.657,9.344,6,75,1.729,7.571,8.695,2,66,1.968,7.484,8.453,3,99,1.342,10.431,11.469,3,69,1.678,9.054,10.209,3,37,1.727,7.888,9.58,4,65,1.093,8.248,9.269,4,59,1.542,5.644,6.837,2,88,2.086,5.868,6.646,2,70,1.404,7.776,9.012,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,Self,VAS,Yes.
588,R_1DP7uPEmpVcvIQw,5d629eeb0350670001920bcd,31,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11.314,12.408,14.742,2,0,10.212,10.212,11.569,1,0,9.767,9.767,10.945,1,0,5.378,6.991,7.561,2,38,13.568,14.927,16.015,4,0,9.691,10.745,12.057,2,0,9.097,9.097,10.717,1,0,10.027,10.027,12.121,1,0,6.837,6.837,8.33,1,0,7.908,7.908,9.101,1,74,8.112,8.112,9.403,1,0,9.143,9.143,10.954,1,66,16.995,16.995,17.921,1,23,13.337,13.337,14.699,1,0,6.364,6.364,7.947,1,0,10.291,10.291,11.95,1,0,9.158,9.158,10.815,1,0,13.336,13.336,15.566,1,0,5.769,5.769,6.885,1,0,8.978,8.978,10.5,1,0,9.185,9.185,11.182,1,82,15.209,15.209,16.489,1,0,11.813,13.072,14.225,2,69,7.286,7.286,8.923,1,0,10.471,10.471,12.119,1,35,13.747,13.747,14.96,1,0,10.876,10.876,12.078,1,0,7.201,15.31,16.617,2,0,16.992,16.992,18.46,1,0,6.783,7.33,9.272,2,94,Other,VAS,Yes.
487,R_2WSfVXepv88onwI,5eeb3200bde1302840ade44a,34,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,8.59,10.628,11.266,3,16,5.76,6.548,7.262,2,22,4.801,5.673,6.391,2,39,11.154,12.435,13.132,3,27,13.04,15.853,16.533,3,43,6.076,8.237,8.837,4,16,9.538,9.538,10.813,1,25,5.42,5.42,6.271,1,29,5.026,7.509,8.111,4,16,4.531,5.852,6.445,3,71,4.801,4.801,5.401,1,30,7.512,7.512,8.4,1,72,5.22,5.957,7.8,2,16,11.059,11.059,12.329,1,64,4.494,4.494,5.12,1,43,11.971,11.971,12.69,1,23,15.482,15.482,16.096,1,31,21.472,22.647,23.273,2,32,10.249,10.249,11.099,1,12,13.202,13.202,15.644,1,20,7.991,7.991,8.747,1,59,6.317,6.317,7.063,1,8,33.154,33.154,33.91,1,74,9.732,9.732,11.283,1,37,10.536,10.536,11.174,1,55,7.167,7.167,7.821,1,22,5.228,5.228,6.052,1,44,38.999,38.999,40.196,1,13,10.012,10.012,10.849,1,16,3.138,3.138,3.877,1,88,Other,VAS,Yes.
