ResponseId,Perspective,Communication,Sex,Eng,Res,Question,VAS,Risk,Age,AgeZeroCenter
R_0CcBP3JLanZYxod,Personal,Control,Male,Yes.,United Kingdom of Great Britain and Northern Ireland,Question_1,1,Low Risk,31,-7.9311531841652325
R_0CcBP3JLanZYxod,Personal,Control,Male,Yes.,United Kingdom of Great Britain and Northern Ireland,Question_2,1,High Risk,31,-7.9311531841652325
R_0CcBP3JLanZYxod,Personal,Control,Male,Yes.,United Kingdom of Great Britain and Northern Ireland,Question_3,1,Minimal Risk,31,-7.9311531841652325
R_0CcBP3JLanZYxod,Personal,Control,Male,Yes.,United Kingdom of Great Britain and Northern Ireland,Question_4,1,High Risk,31,-7.9311531841652325
R_0CcBP3JLanZYxod,Personal,Control,Male,Yes.,United Kingdom of Great Britain and Northern Ireland,Question_5,1,High Risk,31,-7.9311531841652325
R_0CcBP3JLanZYxod,Personal,Control,Male,Yes.,United Kingdom of Great Britain and Northern Ireland,Question_6,1,Low Risk,31,-7.9311531841652325
R_0CcBP3JLanZYxod,Personal,Control,Male,Yes.,United Kingdom of Great Britain and Northern Ireland,Question_7,1,High Risk,31,-7.9311531841652325
R_0CcBP3JLanZYxod,Personal,Control,Male,Yes.,United Kingdom of Great Britain and Northern Ireland,Question_8,1,High Risk,31,-7.9311531841652325
R_0CcBP3JLanZYxod,Personal,Control,Male,Yes.,United Kingdom of Great Britain and Northern Ireland,Question_9,1,Minimal Risk,31,-7.9311531841652325
R_0CcBP3JLanZYxod,Personal,Control,Male,Yes.,United Kingdom of Great Britain and Northern Ireland,Question_10,1,High Risk,31,-7.9311531841652325
R_0CcBP3JLanZYxod,Personal,Control,Male,Yes.,United Kingdom of Great Britain and Northern Ireland,Question_11,1,Minimal Risk,31,-7.9311531841652325
R_0CcBP3JLanZYxod,Personal,Control,Male,Yes.,United Kingdom of Great Britain and Northern Ireland,Question_12,1,High Risk,31,-7.9311531841652325
R_0CcBP3JLanZYxod,Personal,Control,Male,Yes.,United Kingdom of Great Britain and Northern Ireland,Question_13,1,Minimal Risk,31,-7.9311531841652325
R_0CcBP3JLanZYxod,Personal,Control,Male,Yes.,United Kingdom of Great Britain and Northern Ireland,Question_14,1,Minimal Risk,31,-7.9311531841652325
R_0CcBP3JLanZYxod,Personal,Control,Male,Yes.,United Kingdom of Great Britain and Northern Ireland,Question_15,1,Minimal Risk,31,-7.9311531841652325
R_0CcBP3JLanZYxod,Personal,Control,Male,Yes.,United Kingdom of Great Britain and Northern Ireland,Question_16,1,Low Risk,31,-7.9311531841652325
R_0CcBP3JLanZYxod,Personal,Control,Male,Yes.,United Kingdom of Great Britain and Northern Ireland,Question_17,1,High Risk,31,-7.9311531841652325
R_0CcBP3JLanZYxod,Personal,Control,Male,Yes.,United Kingdom of Great Britain and Northern Ireland,Question_18,1,Low Risk,31,-7.9311531841652325
R_0CcBP3JLanZYxod,Personal,Control,Male,Yes.,United Kingdom of Great Britain and Northern Ireland,Question_19,1,Low Risk,31,-7.9311531841652325
R_0CcBP3JLanZYxod,Personal,Control,Male,Yes.,United Kingdom of Great Britain and Northern Ireland,Question_20,1,High Risk,31,-7.9311531841652325
R_0CcBP3JLanZYxod,Personal,Control,Male,Yes.,United Kingdom of Great Britain and Northern Ireland,Question_21,1,Low Risk,31,-7.9311531841652325
R_0CcBP3JLanZYxod,Personal,Control,Male,Yes.,United Kingdom of Great Britain and Northern Ireland,Question_22,1,High Risk,31,-7.9311531841652325
R_0CcBP3JLanZYxod,Personal,Control,Male,Yes.,United Kingdom of Great Britain and Northern Ireland,Question_23,1,High Risk,31,-7.9311531841652325
R_0CcBP3JLanZYxod,Personal,Control,Male,Yes.,United Kingdom of Great Britain and Northern Ireland,Question_24,1,Minimal Risk,31,-7.9311531841652325
R_0CcBP3JLanZYxod,Personal,Control,Male,Yes.,United Kingdom of Great Britain and Northern Ireland,Question_25,1,High Risk,31,-7.9311531841652325
R_0CcBP3JLanZYxod,Personal,Control,Male,Yes.,United Kingdom of Great Britain and Northern Ireland,Question_26,1,High Risk,31,-7.9311531841652325
R_0CcBP3JLanZYxod,Personal,Control,Male,Yes.,United Kingdom of Great Britain and Northern Ireland,Question_27,1,Low Risk,31,-7.9311531841652325
R_0CcBP3JLanZYxod,Personal,Control,Male,Yes.,United Kingdom of Great Britain and Northern Ireland,Question_28,1,High Risk,31,-7.9311531841652325
R_0CcBP3JLanZYxod,Personal,Control,Male,Yes.,United Kingdom of Great Britain and Northern Ireland,Question_29,1,High Risk,31,-7.9311531841652325
R_0CcBP3JLanZYxod,Personal,Control,Male,Yes.,United Kingdom of Great Britain and Northern Ireland,Question_30,1,High Risk,31,-7.9311531841652325
R_0O4Fctp8rYXt7lT,Personal,Control,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,Question_1,0.02,Low Risk,58,19.068846815834767
R_0O4Fctp8rYXt7lT,Personal,Control,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,Question_2,0.01,High Risk,58,19.068846815834767
R_0O4Fctp8rYXt7lT,Personal,Control,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,Question_3,0.02,Minimal Risk,58,19.068846815834767
R_0O4Fctp8rYXt7lT,Personal,Control,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,Question_4,0,High Risk,58,19.068846815834767
R_0O4Fctp8rYXt7lT,Personal,Control,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,Question_5,0.02,High Risk,58,19.068846815834767
R_0O4Fctp8rYXt7lT,Personal,Control,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,Question_6,0.01,Low Risk,58,19.068846815834767
R_0O4Fctp8rYXt7lT,Personal,Control,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,Question_7,0,High Risk,58,19.068846815834767
R_0O4Fctp8rYXt7lT,Personal,Control,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,Question_8,0.03,High Risk,58,19.068846815834767
R_0O4Fctp8rYXt7lT,Personal,Control,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,Question_9,0.01,Minimal Risk,58,19.068846815834767
R_0O4Fctp8rYXt7lT,Personal,Control,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,Question_10,0.01,High Risk,58,19.068846815834767
R_0O4Fctp8rYXt7lT,Personal,Control,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,Question_11,0.02,Minimal Risk,58,19.068846815834767
R_0O4Fctp8rYXt7lT,Personal,Control,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,Question_12,0,High Risk,58,19.068846815834767
R_0O4Fctp8rYXt7lT,Personal,Control,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,Question_13,0,Minimal Risk,58,19.068846815834767
R_0O4Fctp8rYXt7lT,Personal,Control,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,Question_14,0.01,Minimal Risk,58,19.068846815834767
R_0O4Fctp8rYXt7lT,Personal,Control,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,Question_15,0,Minimal Risk,58,19.068846815834767
R_0O4Fctp8rYXt7lT,Personal,Control,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,Question_16,0.01,Low Risk,58,19.068846815834767
R_0O4Fctp8rYXt7lT,Personal,Control,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,Question_17,0.01,High Risk,58,19.068846815834767
R_0O4Fctp8rYXt7lT,Personal,Control,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,Question_18,0.01,Low Risk,58,19.068846815834767
R_0O4Fctp8rYXt7lT,Personal,Control,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,Question_19,0.01,Low Risk,58,19.068846815834767
R_0O4Fctp8rYXt7lT,Personal,Control,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,Question_20,0.01,High Risk,58,19.068846815834767
R_0O4Fctp8rYXt7lT,Personal,Control,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,Question_21,0.01,Low Risk,58,19.068846815834767
R_0O4Fctp8rYXt7lT,Personal,Control,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,Question_22,0,High Risk,58,19.068846815834767
R_0O4Fctp8rYXt7lT,Personal,Control,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,Question_23,0.01,High Risk,58,19.068846815834767
R_0O4Fctp8rYXt7lT,Personal,Control,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,Question_24,0,Minimal Risk,58,19.068846815834767
R_0O4Fctp8rYXt7lT,Personal,Control,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,Question_25,0.01,High Risk,58,19.068846815834767
R_0O4Fctp8rYXt7lT,Personal,Control,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,Question_26,0.01,High Risk,58,19.068846815834767
R_0O4Fctp8rYXt7lT,Personal,Control,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,Question_27,0.02,Low Risk,58,19.068846815834767
R_0O4Fctp8rYXt7lT,Personal,Control,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,Question_28,0.01,High Risk,58,19.068846815834767
R_0O4Fctp8rYXt7lT,Personal,Control,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,Question_29,0,High Risk,58,19.068846815834767
R_0O4Fctp8rYXt7lT,Personal,Control,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,Question_30,0.01,High Risk,58,19.068846815834767
R_10BIu9dWwGhhxzD,Personal,Personal Responsibility,Female,"No, it's my second language.",United Kingdom of Great Britain and Northern Ireland,Question_1,0.03,Low Risk,30,-8.931153184165233
R_10BIu9dWwGhhxzD,Personal,Personal Responsibility,Female,"No, it's my second language.",United Kingdom of Great Britain and Northern Ireland,Question_2,0.03,High Risk,30,-8.931153184165233
R_10BIu9dWwGhhxzD,Personal,Personal Responsibility,Female,"No, it's my second language.",United Kingdom of Great Britain and Northern Ireland,Question_3,0.03,Minimal Risk,30,-8.931153184165233
R_10BIu9dWwGhhxzD,Personal,Personal Responsibility,Female,"No, it's my second language.",United Kingdom of Great Britain and Northern Ireland,Question_4,0.01,High Risk,30,-8.931153184165233
R_10BIu9dWwGhhxzD,Personal,Personal Responsibility,Female,"No, it's my second language.",United Kingdom of Great Britain and Northern Ireland,Question_5,0.03,High Risk,30,-8.931153184165233
R_10BIu9dWwGhhxzD,Personal,Personal Responsibility,Female,"No, it's my second language.",United Kingdom of Great Britain and Northern Ireland,Question_6,0.02,Low Risk,30,-8.931153184165233
R_10BIu9dWwGhhxzD,Personal,Personal Responsibility,Female,"No, it's my second language.",United Kingdom of Great Britain and Northern Ireland,Question_7,0.03,High Risk,30,-8.931153184165233
R_10BIu9dWwGhhxzD,Personal,Personal Responsibility,Female,"No, it's my second language.",United Kingdom of Great Britain and Northern Ireland,Question_8,0.01,High Risk,30,-8.931153184165233
R_10BIu9dWwGhhxzD,Personal,Personal Responsibility,Female,"No, it's my second language.",United Kingdom of Great Britain and Northern Ireland,Question_9,0.02,Minimal Risk,30,-8.931153184165233
R_10BIu9dWwGhhxzD,Personal,Personal Responsibility,Female,"No, it's my second language.",United Kingdom of Great Britain and Northern Ireland,Question_10,0.02,High Risk,30,-8.931153184165233
R_10BIu9dWwGhhxzD,Personal,Personal Responsibility,Female,"No, it's my second language.",United Kingdom of Great Britain and Northern Ireland,Question_11,0.04,Minimal Risk,30,-8.931153184165233
R_10BIu9dWwGhhxzD,Personal,Personal Responsibility,Female,"No, it's my second language.",United Kingdom of Great Britain and Northern Ireland,Question_12,0.13,High Risk,30,-8.931153184165233
R_10BIu9dWwGhhxzD,Personal,Personal Responsibility,Female,"No, it's my second language.",United Kingdom of Great Britain and Northern Ireland,Question_13,0.08,Minimal Risk,30,-8.931153184165233
R_10BIu9dWwGhhxzD,Personal,Personal Responsibility,Female,"No, it's my second language.",United Kingdom of Great Britain and Northern Ireland,Question_14,0.18,Minimal Risk,30,-8.931153184165233
R_10BIu9dWwGhhxzD,Personal,Personal Responsibility,Female,"No, it's my second language.",United Kingdom of Great Britain and Northern Ireland,Question_15,0.06,Minimal Risk,30,-8.931153184165233
R_10BIu9dWwGhhxzD,Personal,Personal Responsibility,Female,"No, it's my second language.",United Kingdom of Great Britain and Northern Ireland,Question_16,0.11,Low Risk,30,-8.931153184165233
R_10BIu9dWwGhhxzD,Personal,Personal Responsibility,Female,"No, it's my second language.",United Kingdom of Great Britain and Northern Ireland,Question_17,0.03,High Risk,30,-8.931153184165233
R_10BIu9dWwGhhxzD,Personal,Personal Responsibility,Female,"No, it's my second language.",United Kingdom of Great Britain and Northern Ireland,Question_18,0.03,Low Risk,30,-8.931153184165233
R_10BIu9dWwGhhxzD,Personal,Personal Responsibility,Female,"No, it's my second language.",United Kingdom of Great Britain and Northern Ireland,Question_19,0.03,Low Risk,30,-8.931153184165233
R_10BIu9dWwGhhxzD,Personal,Personal Responsibility,Female,"No, it's my second language.",United Kingdom of Great Britain and Northern Ireland,Question_20,0.05,High Risk,30,-8.931153184165233
