ResponseId,Perspective,vasMarker,GC,Duration (in seconds),Age,Sex,Eng,Question,VAS,Risk,AgeZeroCenter
R_01WwOCRqq7Dy21H,Other,Midpoint,51,389,40,Female,Yes.,Question_1,0.37,Low Risk,5.531862745098039
R_01WwOCRqq7Dy21H,Other,Midpoint,51,389,40,Female,Yes.,Question_2,0.37,High Risk,5.531862745098039
R_01WwOCRqq7Dy21H,Other,Midpoint,51,389,40,Female,Yes.,Question_3,0.65,Minimal Risk,5.531862745098039
R_01WwOCRqq7Dy21H,Other,Midpoint,51,389,40,Female,Yes.,Question_4,0.61,High Risk,5.531862745098039
R_01WwOCRqq7Dy21H,Other,Midpoint,51,389,40,Female,Yes.,Question_5,0.5,High Risk,5.531862745098039
R_01WwOCRqq7Dy21H,Other,Midpoint,51,389,40,Female,Yes.,Question_6,0.42,Low Risk,5.531862745098039
R_01WwOCRqq7Dy21H,Other,Midpoint,51,389,40,Female,Yes.,Question_7,0.62,High Risk,5.531862745098039
R_01WwOCRqq7Dy21H,Other,Midpoint,51,389,40,Female,Yes.,Question_8,0.39,High Risk,5.531862745098039
R_01WwOCRqq7Dy21H,Other,Midpoint,51,389,40,Female,Yes.,Question_9,0.41,Minimal Risk,5.531862745098039
R_01WwOCRqq7Dy21H,Other,Midpoint,51,389,40,Female,Yes.,Question_10,0.38,High Risk,5.531862745098039
R_01WwOCRqq7Dy21H,Other,Midpoint,51,389,40,Female,Yes.,Question_11,0.66,Minimal Risk,5.531862745098039
R_01WwOCRqq7Dy21H,Other,Midpoint,51,389,40,Female,Yes.,Question_12,0.64,High Risk,5.531862745098039
R_01WwOCRqq7Dy21H,Other,Midpoint,51,389,40,Female,Yes.,Question_13,0.63,Minimal Risk,5.531862745098039
R_01WwOCRqq7Dy21H,Other,Midpoint,51,389,40,Female,Yes.,Question_14,0.64,Minimal Risk,5.531862745098039
R_01WwOCRqq7Dy21H,Other,Midpoint,51,389,40,Female,Yes.,Question_15,0.59,Minimal Risk,5.531862745098039
R_01WwOCRqq7Dy21H,Other,Midpoint,51,389,40,Female,Yes.,Question_16,0.6,Low Risk,5.531862745098039
R_01WwOCRqq7Dy21H,Other,Midpoint,51,389,40,Female,Yes.,Question_17,0.41,High Risk,5.531862745098039
R_01WwOCRqq7Dy21H,Other,Midpoint,51,389,40,Female,Yes.,Question_18,0.56,Low Risk,5.531862745098039
R_01WwOCRqq7Dy21H,Other,Midpoint,51,389,40,Female,Yes.,Question_19,0.57,Low Risk,5.531862745098039
R_01WwOCRqq7Dy21H,Other,Midpoint,51,389,40,Female,Yes.,Question_20,0.38,High Risk,5.531862745098039
R_01WwOCRqq7Dy21H,Other,Midpoint,51,389,40,Female,Yes.,Question_21,0.52,Low Risk,5.531862745098039
R_01WwOCRqq7Dy21H,Other,Midpoint,51,389,40,Female,Yes.,Question_22,0.59,High Risk,5.531862745098039
R_01WwOCRqq7Dy21H,Other,Midpoint,51,389,40,Female,Yes.,Question_23,0.43,High Risk,5.531862745098039
R_01WwOCRqq7Dy21H,Other,Midpoint,51,389,40,Female,Yes.,Question_24,0.51,Minimal Risk,5.531862745098039
R_01WwOCRqq7Dy21H,Other,Midpoint,51,389,40,Female,Yes.,Question_25,0.62,High Risk,5.531862745098039
