ResponseId,Group,Age_1,Practice_Gen_1,Question_1,Question_2,Question_3,Question_4,Question_5,Question_6,Question_7,Question_8,Question_9,Question_10,Question_11,Question_12,Question_13,Question_14,Question_15,Question_16,Question_17,Question_18,Question_19,Question_20,Question_21,Question_22,Question_23,Question_24,Question_25,Question_26,Question_27,Question_28,Question_29,Question_30,Progress,Duration (in seconds),Finished,UserLanguage,CF2,CF1,Trap1,VisionQ,FluencyQ,Gender,Eng,Res,Chi,1_RT_First Click_5,1_RT_Last Click_5,1_RT_Page Submit_5,1_RT_Click Count_5,2_RT_First Click_5,2_RT_Last Click_5,2_RT_Page Submit_5,2_RT_Click Count_5,3_RT_First Click_5,3_RT_Last Click_5,3_RT_Page Submit_5,3_RT_Click Count_5,4_RT_First Click_5,4_RT_Last Click_5,4_RT_Page Submit_5,4_RT_Click Count_5,5_RT_First Click_5,5_RT_Last Click_5,5_RT_Page Submit_5,5_RT_Click Count_5,6_RT_First Click_5,6_RT_Last Click_5,6_RT_Page Submit_5,6_RT_Click Count_5,7_RT_First Click_5,7_RT_Last Click_5,7_RT_Page Submit_5,7_RT_Click Count_5,8_RT_First Click_5,8_RT_Last Click_5,8_RT_Page Submit_5,8_RT_Click Count_5,9_RT_First Click_5,9_RT_Last Click_5,9_RT_Page Submit_5,9_RT_Click Count_5,10_RT_First Click_5,10_RT_Last Click_5,10_RT_Page Submit_5,10_RT_Click Count_5,11_RT_First Click_5,11_RT_Last Click_5,11_RT_Page Submit_5,11_RT_Click Count_5,12_RT_First Click_5,12_RT_Last Click_5,12_RT_Page Submit_5,12_RT_Click Count_5,13_RT_First Click_5,13_RT_Last Click_5,13_RT_Page Submit_5,13_RT_Click Count_5,14_RT_First Click_5,14_RT_Last Click_5,14_RT_Page Submit_5,14_RT_Click Count_5,15_RT_First Click_5,15_RT_Last Click_5,15_RT_Page Submit_5,15_RT_Click Count_5,16_RT_First Click_5,16_RT_Last Click_5,16_RT_Page Submit_5,16_RT_Click Count_5,17_RT_First Click_5,17_RT_Last Click_5,17_RT_Page Submit_5,17_RT_Click Count_5,18_RT_First Click_5,18_RT_Last Click_5,18_RT_Page Submit_5,18_RT_Click Count_5,19_RT_First Click_5,19_RT_Last Click_5,19_RT_Page Submit_5,19_RT_Click Count_5,20_RT_First Click_5,20_RT_Last Click_5,20_RT_Page Submit_5,20_RT_Click Count_5,21_RT_First Click_5,21_RT_Last Click_5,21_RT_Page Submit_5,21_RT_Click Count_5,22_RT_First Click_5,22_RT_Last Click_5,22_RT_Page Submit_5,22_RT_Click Count_5,23_RT_First Click_5,23_RT_Last Click_5,23_RT_Page Submit_5,23_RT_Click Count_5,24_RT_First Click_5,24_RT_Last Click_5,24_RT_Page Submit_5,24_RT_Click Count_5,25_RT_First Click_5,25_RT_Last Click_5,25_RT_Page Submit_5,25_RT_Click Count_5,26_RT_First Click_5,26_RT_Last Click_5,26_RT_Page Submit_5,26_RT_Click Count_5,27_RT_First Click_5,27_RT_Last Click_5,27_RT_Page Submit_5,27_RT_Click Count_5,28_RT_First Click_5,28_RT_Last Click_5,28_RT_Page Submit_5,28_RT_Click Count_5,29_RT_First Click_5,29_RT_Last Click_5,29_RT_Page Submit_5,29_RT_Click Count_5,30_RT_First Click_5,30_RT_Last Click_5,30_RT_Page Submit_5,30_RT_Click Count_5,ReadingQ
R_1EbWXvtmYpAHbu3,Per. Reasoning,35,98,6,0,0,0,43,34,0,50,6,0,66,0,64,48,25,40,0,42,9,6,47,78,0,68,0,35,34,13,0,0,100,557,TRUE,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",Chicago,Yes,Yes,Male,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,12.771,17.345,18.129,5,0.353,14.829,15.593,5,5.717,7.32,8.08,3,3.866,18.247,19.219,15,14.86,20.094,20.714,6,0.459,12.495,13.238,10,8.233,11.134,12.305,6,1.939,10.825,11.899,6,4.987,8.512,9.21,6,0.729,6.13,6.794,5,1.985,8.029,8.657,4,3.464,7.103,7.833,7,9.519,17.182,21.212,4,13.014,20.583,21.472,4,7.369,8.598,9.315,3,9.308,13.08,13.807,4,2.144,7.242,7.941,4,0.608,13.567,14.447,7,1.01,10.635,11.361,5,6.066,8.663,9.46,6,9.852,12.382,13.079,3,7.01,10.973,11.86,6,15.384,18.949,20.012,4,6.249,7.274,8.775,2,5.331,7.558,8.228,4,5.532,16.691,17.383,9,7.745,13.153,13.897,4,9.927,13.58,14.754,5,3.301,5.754,6.49,4,4.262,7.568,8.321,5,NA
R_O9lTjCdLtW3tKNj,Per. Reasoning,30,100,50,22,59,33,21,73,0,19,84,0,100,5,100,96,100,100,0,70,74,18,21,63,60,99,78,47,93,10,17,0,100,264,TRUE,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",Chicago,Yes,Yes,Male,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,5.859,7.981,8.866,2,2.101,2.101,3.501,1,3.614,3.614,4.505,1,3.671,3.671,4.7,1,5.939,6.23,7.526,2,7.782,9.99,11.401,5,3.011,3.988,5.391,2,3.111,3.111,4.457,1,4.052,4.052,4.883,1,2.603,2.603,3.961,1,2.99,3.232,3.892,2,3.997,3.997,5.032,1,4.111,4.526,5.542,2,2.278,2.278,3.967,1,2.586,2.586,3.831,1,2.968,3.391,4.209,2,2.506,2.966,4.199,2,2.914,3.688,4.865,2,7.193,7.193,10.822,1,8.92,9.5,10.581,2,6.988,6.988,7.992,1,3.623,3.623,4.522,1,2.913,2.913,4.343,1,2.199,2.727,3.482,2,6.57,6.57,7.513,1,4.11,7.955,8.819,7,6.51,6.51,7.278,1,2.204,4.28,5.248,2,3.549,3.549,4.785,1,3.021,4.403,5.402,3,NA
R_3EtA98JilIcEqHW,Per. Reasoning,24,52,0,2,1,1,84,2,3,67,2,2,0,3,1,4,1,1,4,0,0,5,49,93,0,0,2,48,4,5,3,1,100,341,TRUE,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",Chicago,Yes,Yes,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,1.578,1.578,2.209,1,3.504,3.504,4.288,1,3.668,3.668,4.494,1,2.944,2.944,3.621,1,7.04,7.04,7.592,1,1.808,1.808,3.009,1,1.308,3.054,3.093,2,5.946,5.946,6.602,1,8.747,9.313,10.438,2,2.724,2.724,3.632,1,3.142,3.907,3.94,2,2.772,6.966,7.002,2,2.406,3.183,8.295,2,5.328,6.036,6.076,2,5.057,5.057,6.091,1,2.026,2.026,2.904,1,2.554,2.554,3.4,1,3.683,3.683,5.556,1,2.701,2.701,3.308,1,6.267,7.153,7.19,2,4.102,8.668,8.705,3,5.097,6.733,7.279,3,1.655,1.655,2.306,1,9.434,9.434,10.417,1,14.211,14.211,15.173,1,5.633,6.39,7.018,2,3.384,4.792,4.828,2,2.004,2.867,2.906,2,2.538,3.57,8.235,2,2.25,3.029,3.064,2,NA
R_1E5r15vzeAdvw2p,Per. Reasoning,44,100,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,49,70,0,0,0,0,0,0,0,0,100,288,TRUE,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",Chicago,Yes,Yes,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,9.49,10.268,11.235,2,1.465,1.465,2.831,1,1.346,1.346,2.629,1,1.681,1.681,3.861,1,14.542,14.542,15.798,1,2.06,4.661,5.472,2,3.299,3.299,4.784,1,5.139,5.139,6.25,1,1.602,1.602,2.724,1,1.638,1.638,2.821,1,1.581,1.581,2.606,1,1.805,3.435,5.601,3,1.78,3.838,4.234,4,2.321,3.367,4.257,3,3.716,4.231,5.426,2,1.255,2.479,3.789,3,4.473,4.994,6.161,2,1.852,1.852,9.015,1,2.342,4.316,5.897,3,9.382,9.382,10.358,1,8.044,8.044,8.893,1,5.639,6.191,7.04,2,1.504,2.096,2.925,2,1.738,3.58,4.618,3,8.623,10.976,12.293,4,2.882,3.398,4.568,2,4.932,5.624,6.673,2,1.978,2.613,5.876,2,1.623,1.623,3.051,1,1.961,1.961,3.153,1,NA
R_1K1t6ZFkP2L4WOg,Per. Reasoning,20,97,17,26,34,89,81,35,6,23,10,2,79,17,53,76,69,79,23,79,22,1,64,76,19,71,85,59,34,71,17,25,100,406,TRUE,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",Chicago,Yes,Yes,Female,Yes.,Australia,Australia,4.232,5.864,6.634,2,3.22,3.22,4.254,1,22.49,22.49,24.165,1,4.109,4.109,4.783,1,1.711,5.72,7.079,3,3.822,3.822,4.701,1,5.536,5.536,6.269,1,4.056,4.056,4.954,1,3.334,3.334,4.262,1,10.226,10.226,10.922,1,5.559,5.559,6.258,1,5.705,6.146,7.115,2,5.196,5.196,6.069,1,5.618,5.618,6.321,1,4.168,5.423,6.214,3,3.586,3.586,4.655,1,58.553,58.553,59.457,1,6.544,7.898,8.632,3,3.731,3.731,4.49,1,4.848,4.848,7.355,1,43.605,43.605,44.82,1,7.136,7.136,7.893,1,2.659,3.249,4.06,2,4.893,4.893,6.207,1,2.719,4.274,7.23,2,6.362,7.45,8.628,2,6.273,6.273,7.27,1,5.541,5.541,6.544,1,7.519,7.519,8.367,1,3.441,3.441,4.093,1,NA
R_28CVE8nGLMnMKB6,Per. Reasoning,19,69,33,86,74,99,23,72,45,56,77,84,91,52,100,94,92,93,48,55,96,92,62,13,94,92,92,50,69,61,68,52,100,230,TRUE,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",Chicago,Yes,Yes,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,2.502,2.502,3.614,1,4.582,5.398,6.144,2,3.316,3.316,3.93,1,1.815,1.815,2.363,1,2.575,3.409,4.174,2,14.381,14.381,15.112,1,1.762,2.863,3.81,2,2.889,3.487,3.517,2,1.632,4.833,5.461,3,8.844,9.665,10.309,2,2.498,2.498,3.345,1,2.263,6.394,6.426,4,1.717,3.382,4.345,3,2.006,2.006,2.801,1,1.901,1.901,4.001,1,1.859,2.674,3.571,2,4.165,4.165,6.06,1,2.769,2.769,3.664,1,3.145,3.847,4.625,2,4.98,4.98,5.526,1,3.687,3.687,4.434,1,1.887,1.887,2.6,1,3.914,4.663,5.176,2,2.701,3.701,4.384,2,1.974,1.974,2.988,1,3.302,3.769,4.515,2,1.882,2.868,3.428,2,3.286,6.471,7.067,2,4.835,4.835,5.565,1,1.912,1.912,3.357,1,NA
R_2D1t8QcdkUOPhMC,Per. Reasoning,45,98,8,0,49,0,28,0,0,0,52,0,85,0,100,77,58,41,0,55,27,0,0,69,0,100,0,25,61,0,38,0,100,385,TRUE,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",Chicago,Yes,Yes,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,6.2,6.2,7.469,1,6.297,8.506,9.776,3,8.233,8.233,9.658,1,3.442,3.442,4.617,1,8.58,8.58,9.629,1,7.551,7.551,8.422,1,4.558,4.558,5.498,1,4.15,4.15,5.196,1,6.328,6.328,7.281,1,3.789,3.789,5.037,1,9.632,9.632,10.498,1,7.23,7.23,9.879,1,6.386,6.386,7.378,1,6.345,6.345,7.52,1,8.06,8.06,9.3,1,7.051,7.051,8.498,1,4.363,4.363,5.394,1,7.104,7.104,8.121,1,14.303,14.898,16.088,2,5.271,5.271,6.56,1,6.056,6.056,7.737,1,11.599,11.599,12.992,1,7.969,7.969,9.409,1,6.485,6.485,7.486,1,7.392,7.392,9.048,1,7.843,7.843,9.48,1,15.84,15.84,17.1,1,7.025,7.025,8.312,1,7.379,9.595,10.707,2,3.06,3.06,8.594,1,NA
R_2uy31oGpFnNwjB1,Per. Reasoning,51,100,96,96,97,46,98,98,0,16,100,11,100,0,99,97,99,99,3,96,100,3,49,97,100,95,99,95,91,52,16,4,100,332,TRUE,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",Chicago,Yes,Yes,Male,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,5.445,5.445,6.282,1,6.837,6.837,7.444,1,7.301,7.301,8.259,1,4.536,5.446,6.174,2,3.695,3.695,4.262,1,7.025,7.025,7.628,1,11.579,11.579,12.51,1,6.519,6.519,7.313,1,4.498,5.303,5.337,2,5.047,5.682,6.487,2,10.809,10.809,11.664,1,2.772,2.772,3.52,1,5.178,5.854,6.39,2,2.036,2.036,4.977,1,5.189,5.189,5.783,1,2.482,2.482,3.248,1,2.566,2.566,3.458,1,11.987,11.987,12.652,1,8.101,8.101,8.779,1,6.541,6.541,7.367,1,12.284,13.733,14.544,3,4.323,5.406,5.97,2,9.318,9.318,9.912,1,1.578,2.309,2.341,2,5.157,5.157,6.006,1,5.617,5.617,6.441,1,0.96,0.96,4.264,1,8.882,9.892,10.616,2,5.937,5.937,6.798,1,4.184,4.184,5.228,1,NA
R_1mIrLWFAsk9yaH4,Per. Reasoning,30,57,58,62,75,50,73,74,54,77,31,0,19,18,71,81,74,72,0,67,27,25,24,59,56,71,67,71,67,54,32,24,100,166,TRUE,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",Chicago,Yes,Yes,Male,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,1.739,2.18,3.259,2,0.879,0.879,1.8,1,0.646,2.335,3.173,4,0.635,8.244,8.79,10,0.655,1.536,2.328,3,0.848,5.024,5.986,2,0.787,0.787,1.569,1,2.862,2.862,3.822,1,0.914,0.914,1.666,1,0.791,3.144,4.278,5,0.896,0.896,1.987,1,2.75,4.98,5.965,5,0.766,0.766,1.67,1,1.912,4.378,5.026,4,1.992,1.992,2.767,1,1.224,1.224,2.644,1,0.987,5.946,6.291,4,0.826,1.123,1.954,2,1.254,3.157,3.671,2,1.485,3.142,4.076,2,0.915,1.339,2.276,2,0.711,0.711,1.598,1,0.871,0.871,1.846,1,0.9,0.9,1.699,1,1.299,1.299,2.124,1,0.534,0.534,1.302,1,0.798,1.278,2.246,2,1.573,1.573,2.284,1,0.813,1.238,2.126,2,0.882,2.099,2.905,3,NA
R_1r0xrjLVS2FsoI5,Per. Reasoning,45,100,23,29,15,1,4,36,0,0,26,0,49,0,73,28,0,59,0,64,54,0,65,72,0,70,0,24,17,0,7,0,100,337,TRUE,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",Chicago,Yes,Yes,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,7.599,7.599,9.175,1,4.394,4.394,5.306,1,3.423,3.423,4.676,1,3.579,3.579,4.691,1,5.474,5.474,6.528,1,5.193,5.193,6.069,1,4.491,4.491,5.751,1,5.384,5.384,7.209,1,4.978,4.978,6.198,1,5.281,5.281,6.502,1,6.446,6.446,7.427,1,3.586,4.562,5.649,2,7.665,10.889,12.03,3,10.498,11.462,12.897,2,14.135,14.135,15.277,1,4.82,9.996,11.144,3,3.833,3.833,5.2,1,5.606,10.886,11.825,4,4.407,4.407,5.535,1,6.87,6.87,8.454,1,8.063,8.435,9.292,2,4.538,4.538,5.439,1,3.597,4.57,5.946,2,5.994,5.994,6.891,1,7.327,7.327,8.401,1,6.637,6.637,7.8,1,6.883,6.883,8.433,1,6.846,6.846,9.772,1,3.707,3.707,4.632,1,4.116,5.049,6.592,2,NA
